City ,state_abbr,County,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Percent of Cases with Late Stage,,,
Madison,WI,Dane,15.6,13.6,18,N/A ,25,52,43,51.8,,,
Memphis,TN,Shelby,21,19.3,22.9,N/A ,20,52,115,56,,,
Mesa,AZ,Maricopa,14.9,14.3,15.7,N/A ,3,11,358,51.3,,,
Miami,FL,Miami-Dade,18.2,17.3,19.1,N/A ,19,39,329,52.5,,,
Milwaukee,WI,Milwaukee,19.6,17.9,21.3,N/A ,12,38,110,54.7,,,
Milwaukee,WI,Washington,17.4,13.7,22,N/A ,9,52,16,59.8,,,
Milwaukee,WI,Waukesha,17.1,15,19.6,N/A ,18,50,48,57.9,,,
Minneapolis,MN,Hennepin,,,,,,,3 or fewer,,,,
Nashville,TN,Davidson,20.4,18.4,22.7,N/A ,21,58,74,57.4,,,
New Orleans,LA,Orleans,18.1,15.7,20.8,N/A ,25,44,43,54.9,,,
New York,NY,Bronx,18.2,16.9,19.6,N/A ,22,51,149,55.4,,,
New York,NY,Kings,19.6,18.6,20.7,N/A ,17,44,302,55.7,,,
New York,NY,New York,16.5,15.4,17.7,N/A ,37,57,174,54.7,,,
New York,NY,Queens,18.6,17.6,19.6,N/A ,23,49,273,54.5,,,
New York,NY,Richmond,20.2,18,22.7,N/A ,10,47,64,57.2,,,
Newark,NJ,Essex,20.9,19,22.8,N/A ,3,18,99,56,,,
Norfolk,VA,Norfolk,15.5,12.4,19.2,N/A ,27,74,18,45.5,,,
North Las Vegas,NV,Clark,16.2,15.1,17.2,N/A ,3,8,189,51,,,
Oakland,CA,Alameda,17,15.9,18.3,N/A ,15,42,161,57,,,
Oklahoma City,OK,Canadian,16.7,12.6,21.6,N/A ,8,35,12,50.9,,,
Oklahoma City,OK,Cleveland,16.5,13.6,19.7,N/A ,12,34,24,53.5,,,
Oklahoma City,OK,Oklahoma,19,17.2,21,N/A ,10,28,82,52.8,,,
Oklahoma City,OK,Pottawatomie,20.9,15.4,27.9,N/A ,2,33,10,65.3,,,
Omaha,NE,Douglas,12.9,10.4,15.8,N/A ,12,21,20,53.2,,,
Orlando,FL,Orange ,20,18.5,21.6,N/A ,7,35,132,59.2,,,
Philadelphia,PA,Philadelphia,21.9,20.5,23.3,N/A ,15,47,203,57.4,,,
Phoenix,AZ,Maricopa,14.9,14.3,15.7,N/A ,3,11,358,51.3,,,
Pittsburgh,PA,Allegheny,21.4,20,22.8,N/A ,17,48,201,61.9,,,
Plano,TX,Collin,15.4,13.8,17.1,N/A ,55,101,71,58.2,,,
Plano,TX,Denton,13.8,12.1,15.7,N/A ,67,105,49,49.7,,,
Portland,OR,Clackamas,18.8,16.5,21.3,N/A ,4,20,51,58.3,,,
Portland,OR,Multnomah,17.5,15.8,19.5,N/A ,7,21,75,54.6,,,
Portland,OR,Washington,14.7,12.8,16.7,N/A ,14,25,46,56.3,,,
Raleigh,NC,Durham,19.5,16.5,22.9,N/A ,17,74,31,58.8,,,
Raleigh,NC,Wake,17.5,15.9,19.2,N/A ,36,74,90,61.8,,,
Reno,NV,Washoe,15,12.9,17.3,N/A ,4,8,40,51.3,,,
Richmond,VA,Henrico,18.4,15.8,21.3,N/A ,20,64,38,53.7,,,
Riverside,CA,Riverside,17.3,16.3,18.3,N/A ,15,39,226,54.2,,,
Sacramento,CA,Sacramento,20.7,19.3,22.1,N/A ,3,20,177,59.8,,,
San Antonio,TX,Bexar,17,15.9,18.3,N/A ,45,87,165,54,,,
San Antonio,TX,Medina,18.3,11.9,27.1,N/A ,4,105,5,60,,,
San Diego,CA,San Diego ,17.7,16.8,18.6,N/A ,14,36,324,55.9,,,
San Diego,CA,Jim Wells,22.3,14.6,32.8,N/A ,1,105,5,55.1,,,
San Francisco,CA,San Francisco,16.6,15.1,18.3,N/A ,14,45,87,52.5,,,
San Jose,CA,Santa Clara,16.8,15.7,18,N/A ,17,42,180,59.1,,,
Santa Ana,CA,Orange,14.8,14,15.6,N/A ,34,47,276,52.5,,,
Scottsdale,AZ,Maricopa,14.9,14.3,15.7,N/A ,3,11,358,51.3,,,
Seattle,WA,King,17.6,16.5,18.7,N/A ,11,25,211,59,,,
Spokane,WA,Spokane,18.4,16.2,20.8,N/A ,6,25,55,58,,,
St. Louis,MO,St. Louis,23.3,20.1,26.8,N/A ,9,41,42,57.3,,,
St. Paul,MN,Ramsey ,,,,,,,3 or fewer,,,,
St. Petersburg,FL,Pinellas,18.8,17.4,20.3,N/A ,12,39,157,58.1,,,
Stockton,CA,San Joaquin,19.9,17.9,22.1,N/A ,3,32,76,57.9,,,
Tacoma,WA,Pierce,17.4,15.7,19.2,N/A ,9,26,83,53.5,,,
Tampa,FL,Hillsborough,20.6,19.1,22,N/A ,6,30,164,58.1,,,
Toledo,OH,Lucas,20.3,17.9,22.8,N/A ,21,71,58,57,,,
Tucson,AZ,Pima,14.4,13.1,15.8,N/A ,4,12,99,52,,,
Tulsa,OK,Osage,20.6,14.3,29.1,N/A ,2,34,7,62.7,,,
Tulsa,OK,Rogers,16,11.7,21.4,N/A ,9,35,10,52.2,,,
Tulsa,OK,Tulsa,20.2,18.2,22.5,N/A ,7,25,73,52.9,,,
Tulsa,OK,Wagoner,19.3,14,26,N/A ,3,34,9,56.1,,,
Virginia Beach,VA,Virginia Beach,16.1,14,18.6,N/A ,34,71,41,50.5,,,
Washington,DC,District of Columbia,19.7,17.6,21.9,N/A , N/A , N/A,71,53.7,,,
Wichita,KS,Sedgwick,,,,,,,3 or fewer,,,,
Winston-Salem,NC,Forsyth,20.3,17.7,23.1,N/A ,14,67,48,60.6,,,
